Cpa CyInstance has successfully started.
Trial #068	OpenSSL: 2347.4us	QAT: 50.0us	Speed Up:47.0x		** PASS **
Trial #069	OpenSSL: 2374.6us	QAT: 49.9us	Speed Up:47.5x		** PASS **
Trial #070	OpenSSL: 2400.8us	QAT: 49.9us	Speed Up:48.1x		** PASS **
Trial #071	OpenSSL: 2408.6us	QAT: 49.9us	Speed Up:48.2x		** PASS **
Trial #072	OpenSSL: 2390.4us	QAT: 49.9us	Speed Up:47.8x		** PASS **
Trial #073	OpenSSL: 2372.6us	QAT: 49.9us	Speed Up:47.5x		** PASS **
Trial #074	OpenSSL: 2397.2us	QAT: 49.9us	Speed Up:48.0x		** PASS **
Trial #075	OpenSSL: 2380.0us	QAT: 49.9us	Speed Up:47.7x		** PASS **
Trial #076	OpenSSL: 2388.5us	QAT: 49.9us	Speed Up:47.9x		** PASS **
Trial #077	OpenSSL: 2371.8us	QAT: 49.9us	Speed Up:47.5x		** PASS **
Trial #078	OpenSSL: 2380.6us	QAT: 49.9us	Speed Up:47.7x		** PASS **
Trial #079	OpenSSL: 2364.3us	QAT: 49.8us	Speed Up:47.4x		** PASS **
Trial #080	OpenSSL: 2348.4us	QAT: 49.8us	Speed Up:47.1x		** PASS **
Trial #081	OpenSSL: 2371.8us	QAT: 49.8us	Speed Up:47.6x		** PASS **
Trial #082	OpenSSL: 2394.2us	QAT: 49.8us	Speed Up:48.1x		** PASS **
Trial #083	OpenSSL: 2378.6us	QAT: 49.8us	Speed Up:47.8x		** PASS **
Trial #084	OpenSSL: 2386.3us	QAT: 49.8us	Speed Up:47.9x		** PASS **
Trial #085	OpenSSL: 2371.1us	QAT: 49.8us	Speed Up:47.6x		** PASS **
Trial #086	OpenSSL: 2392.3us	QAT: 49.8us	Speed Up:48.1x		** PASS **
Trial #087	OpenSSL: 2377.4us	QAT: 49.8us	Speed Up:47.8x		** PASS **
Trial #088	OpenSSL: 2385.5us	QAT: 49.7us	Speed Up:47.9x		** PASS **
Trial #089	OpenSSL: 2405.8us	QAT: 49.7us	Speed Up:48.4x		** PASS **
Trial #090	OpenSSL: 2391.2us	QAT: 49.7us	Speed Up:48.1x		** PASS **
Trial #091	OpenSSL: 2376.9us	QAT: 49.7us	Speed Up:47.8x		** PASS **
Trial #092	OpenSSL: 2396.9us	QAT: 49.7us	Speed Up:48.2x		** PASS **
Trial #093	OpenSSL: 2382.8us	QAT: 49.7us	Speed Up:47.9x		** PASS **
Trial #094	OpenSSL: 2369.2us	QAT: 49.7us	Speed Up:47.6x		** PASS **
Trial #095	OpenSSL: 2355.8us	QAT: 49.7us	Speed Up:47.4x		** PASS **
Trial #096	OpenSSL: 2342.7us	QAT: 49.7us	Speed Up:47.1x		** PASS **
Trial #097	OpenSSL: 2329.8us	QAT: 49.7us	Speed Up:46.9x		** PASS **
Trial #098	OpenSSL: 2317.2us	QAT: 49.7us	Speed Up:46.6x		** PASS **
Trial #099	OpenSSL: 2336.4us	QAT: 49.7us	Speed Up:47.0x		** PASS **
Trial #100	OpenSSL: 2324.0us	QAT: 49.7us	Speed Up:46.7x		** PASS **
